name,line
Narrator," Here is Rebecca Rabbit with her little brother, Richard Rabbit."
Rebecca Rabbit," Hello, everyone."
 Suzy Sheep and Danny Dog, Hello.
Rebecca Rabbit, Can I come on the roundabout too?
Daddy Pig," Hop on, Rebecca."
Rebecca Rabbit, Let’s go really really fast.
Narrator, Richard Rabbit wants to go on the roundabout too.
Peppa Pig," Oh, if Richard gets on, it means we can’t go fast."
Rebecca Rabbit, Richard can play with George.
Mummy Rabbit," Richard, would you like to play with George?"
Richard, No.
Mummy Rabbit, George has a dinosaur just like yours. Let’s go and see.
Narrator, Richard Rabbit is the same age as George.
Mummy Rabbit, Richard wants to see George’s dinosaur.
George," Grr, dinosaur."
Mummy Pig," George, can Richard play with your dinosaur?"
George, No.
Mummy Rabbit," Richard, can George play with your dinosaur?"
Richard, No.
Narrator, George and Richard do not want to share their dinosaurs.
Mummy Pig," George, it will be much more fun if you share."
Mummy Rabbit, That was really nice of George.
Richard, Dinosaur.
Narrator, George does not like sharing.
Mummy Rabbit," Richard, let George hold the dinosaurs now."
George, (giggles)
Narrator, Richard does not like sharing either.
Daddy Pig, What’s all this crying about?
Peppa Pig, George and Richard always cry when they play together.
Rebecca Rabbit, They’re just too little to play properly.
Mummy Rabbit, Can you two big girls teach them to play together?
Peppa Pig, Of course.
Rebecca Rabbit, We can help them make sand castles.
Daddy Pig, Good idea. Let’s go to the sand pit.
Narrator, George and Richard love the sand pit.
Peppa Pig," George, Richard, today we are going to make sand castles."
Rebecca Rabbit," First, we fill the buckets with sand."
Peppa Pig, We turn the buckets over and give them a little tap.
Rebecca Rabbit," Now, we lift the buckets."
Peppa Pig, Hey presto.
Narrator, Richard has made a sand castle.
George, Hey presto.
Narrator, And George has made a sand castle.
Daddy Pig," You see, playing together is fun."
Narrator," Oh, dear. This game has not gone very well."
Peppa Pig, It was your brother’s fault. He broke George’s sand castle.
Rebecca Rabbit, Your brother broke my brother’s sand castle first.
Daddy Pig," Now, now. You two big girls are meant to be teaching Richard and George to play nicely together."
Rebecca Rabbit, That’s right. We’re big girls.
Peppa Pig, And George and Richard are too little to play together properly.
Mummy Pig, Hmm. I’ve got an idea.
Mummy Pig," George, what’s your most favourite thing in the whole playground?"
George, Seesaw.
Narrator, George loves the seesaw.
George, Seesaw.
Narrator, It is a bit difficult to play on a seesaw on your own.
Narrator, Richard wants to play on the seesaw.
Richard, Seesaw.
George, Seesaw.
Richard, Seesaw.
Peppa Pig, Look. George and Richard are playing together.
Richard, Seesaw.
George, Seesaw.
Richard, Seesaw.
George, Seesaw.
Narrator, George likes Richard. Richard likes George. George and Richard like playing together.
The Children," Seesaw, seesaw."
The Children," Seesaw, seesaw."
Narrator, Peppa's family are on holiday in their campervan.
Daddy Pig, Good morning my little piggies!
Mummy Pig and Peppa, Good morning Daddy Pig
Peppa, I love camping!
Mummy Pig," Since we're in the countryside, I thought we could spend the day looking at nature."
Daddy Pig, Good idea mummy pig! Let's watch a nature programme.
TV Announcer," One of the wonders of nature, birds."
Daddy Pig," How lovely. Ssh, ssh little birdy! We can't hear our TV"
Mummy Pig," Oh Daddy Pig, there's no point in being on a camping holiday and just watching TV. We can do that at home."
Daddy Pig, Err... Good thinking Mummy Pig.
Mummy Pig, There are lots of fun places we can visit. There's tree world.
Peppa, What's tree world?
Mummy Pig, Tree world is a big forrest full of trees.
Peppa, It sounds a bit boring.
Mummy Pig, Or there's potato city.
Peppa, What's potato city?
Mummy Pig, There's a tour of the potato fields ending with a potato tasting.
Daddy Pig, Sounds interesting.
Mummy Pig, Or there's duck land.
Peppa, What's duck land?
Mummy Pig, It's a wide river full of ducks.
Peppa, Duck land! Let's go to duck land!
Narrator, Peppa and George love ducks.
Peppa, How do we get to duck land?
Mummy Pig, The camper van can guide us.
Campervan, Hello? Where are we going today?
Peppa, Duck land please.
Campervan, Follow the road ahead in a straight line.
Family Pig, [singing] We're going to duck land in our camper van
Miss Rabbit, Welcome to duck land. How many tickets please?
Mummy Pig, Two adults and two children.
Miss Rabbit, Enjoy the ducks!
Peppa, Where are the ducks?
Mummy Pig, Maybe they're on holiday.
Daddy Pig, Let's have our picnic lunch. The ducks always turn up-
Peppa, -when we have picnics.
Narrator, Peppa and George love picnics.
Peppa, Look! It's the ducks. Stop Daddy! We need bread for the ducks.
Daddy Pig, Alright.
Peppa, Hello Mrs. Duck.
Narrator, Here come more ducks.
Peppa, All her brothers and sisters are here.
Narrator, And here come more ducks.
Peppa, It's the granny and grandpa ducks.
Mummy Pig, And here are all the aunties and uncles.
Daddy Pig," Ho, ho that's the last of our picnic gone."
Peppa," Ducks, say thank you to Daddy Pig!"
Daddy Pig," Ho, ho you're more welcome."
Peppa, I love ducks land!
Narrator, It is time to go home.
Mummy Pig, I wonder what's the shortest way home.
Campervan, Drive straight ahead into the river.
Mummy Pig," Oh, are you sure?"
Campervan," Yes, drive into the river."
Peppa, But we can't drive in the river.
Daddy Pig," Yes, it's talking nonsense."
Campervan, Please press the blue button.
Narrator, The campervan is driving into the river.
Peppa, Our campervan has turned into a boat.
Daddy Pig, I wasn't quite expecting that.
Campervan, Welcome to the car of the future.
Peppa, Look! It's Granddad Dog and Danny Dog!
Granddad Dog, A-hoy there Daddy Pig!
Daddy Pig," Err, a-hoy there."
Family Pig, [singing] Sailing on the river in the campervan.
Campervan, Drive up the next hill.
Campervan, You have reached your destination.
Family Pig, We're home!
Peppa, Thank you for a lovely holiday Mrs. Campervan.
Campervan," Ho, ho. You're most welcome."
Peppa, It's nice going on holiday but it's nicer to be back in our own little house.
Daddy Pig, Goodnight my little piggies.
Peppa, Goodnight!
Narrator, Peppa and her family are going camping.
Daddy Pig, I love camping. We’re here!
Daddy Pig," Peppa, George, this is the tent I had when I was a little boy."
Peppa Pig," Daddy, how are you going to make that into a tent?"
Daddy Pig," Don’t worry, Peppa. I’m an expert at camping! Mummy Pig, put the tent on the poles, please."
Daddy Pig, That’s it. Easy as pie!
Daddy Pig, Ooo!
Mummy Pig, Do these pegs do anything?
Daddy Pig," Of course, I forgot about the pegs."
Narrator, Pegs hold the tent up.
Daddy Pig, There.
Peppa Pig, The tent is a bit little.
Daddy Pig," It was big enough for me when I was a boy, but it does look a bit small now!"
Mummy Pig," That’s because you’ve grown a bit since you were a boy, Daddy Pig."
Peppa Pig, And your tummy has grown the most of all!
Daddy Pig," Talking of tummies, we should cook supper."
Peppa Pig," Yes, yes!"
Daddy Pig, First we have to collect sticks to make a fire.
Peppa Pig, Yippee~!
Narrator, Peppa and George are helping Daddy Pig collect sticks for the campfire.
Peppa Pig," George, I’ll pick up the sticks and you can carry them."
Peppa Pig, Collecting sticks is fun!
Daddy Pig," Good, that’s enough sticks."
Daddy Pig, That’s a splendid campfire. Now I’ll light it.
Mummy Pig, Here are the matches!
Daddy Pig, We don’t need matches.
Peppa Pig," Daddy, how can you light it without matches?"
Daddy Pig, I’m going to make fire the old way. By simply rubbing these two sticks together.
Narrator, Daddy Pig is rubbing the two sticks together to light the campfire.
Peppa Pig," Where’s the fire, Daddy?"
Daddy Pig, Nearly there.
 Mummy Pig and George, Hurrah!
Daddy Pig, Easy as pie.
Mummy Pig, Now we can heat up the tomato soup.
Daddy Pig," Ah, listen to the sounds of nature."
Peppa Pig, What is that sound?
Daddy Pig, That is the sound of crickets chirping.
Peppa Pig, What is that?
Mummy Pig," That’s an owl. Look, there it is."
Peppa and George, Wow.
Peppa Pig, And what’s that noise?
Mummy Pig," Oh, I’m not sure."
Peppa Pig, It’s Daddy’s tummy!
Daddy Pig, My tummy rumbling is one of the best sounds of nature. It means it’s time to eat.
Peppa Pig, I love tomato soup.
Daddy Pig, So do I!
Mummy Pig, There’s another one of Daddy Pig’s sounds of nature.
Daddy Pig, What?
Mummy Pig," Come on, children. Into the tent. It’s bedtime."
Peppa Pig, We won’t all fit in. The tent is too little.
Daddy Pig, It will be fine. In you go.
Daddy Pig," Move further in, Mummy Pig!"
Peppa Pig," Daddy, you’re too big for the tent."
Daddy Pig, Never mind. I’d rather sleep outside anyway!
Mummy Pig," Good night, Daddy Pig."
Peppa Pig," Good night, Daddy."
George, Night-night~!
Daddy Pig," Good night, everyone."
Narrator," Mummy Pig, Peppa and George are sleeping in the tent. Daddy Pig is sleeping outside under the stars."
Daddy Pig," I love camping, sleeping in the open air with the stars above me."
Daddy Pig, Maybe this wasn’t such a good idea after all...
Narrator, It is morning.
Peppa Pig," Daddy, it was lovely and cosy in the tent. Oh, where’s Daddy?"
Narrator, Daddy Pig has gone.
Mummy Pig, Poor Daddy Pig. He must have been cold and wet! And now where is he?
Mummy Pig, What’s that sound?
Peppa Pig, It sounds like snoring...
Peppa Pig, Daddy Pig!
Daddy Pig, What?
Peppa Pig," Daddy, you’re safe!"
Daddy Pig, Of course I’m safe. I’m an expert at camping. I slept in the car.
Peppa Pig, Silly Daddy.
Daddy Pig, I love camping!
ALL, They're Laughing
Narrator, Peppa and George Are in a America
Narrator, On Their Way to Hollywood
Narrator, Mummy Pig is watching a keep fit programme on television.
 Potato on TV," ...three and four and, come on now, that's right. Bend it, stretch it, bend it, stretch it..."
Daddy Pig, Ah. I love watching telly. (Thud and bump)
Daddy Pig, What's this Mummy Pig?
Mummy Pig, (oinks) It's a programme about doing exercises to keep fit.
Daddy Pig, (chuckles) Thank goodness I don't have to exercise. I'm naturally fit.
Peppa Pig, (oinks) You don't look very fit Daddy. Your tummy is a bit big.
Daddy Pig, I'm very fit. I'll show you. (Oinks) What shall I do first?
Peppa Pig, Touch your toes like this.
Daddy Pig, Easy. (straining)
Peppa Pig," Daddy, stop pretending that you can't touch your toes."
Daddy Pig," Er, I'm not pretending, Peppa."
Narrator, Daddy Pig really cannot touch his toes.
Peppa Pig," Oh dear, Daddy. That's not very good."
Daddy Pig, Hmmm? Maybe I should do a bit of exercise.
Peppa Pig," Yes, Daddy."
Daddy Pig, And I will start... tomorrow. (Thud and bump)
Mummy Pig," Daddy Pig, you have to start exercising now."
Daddy Pig, Oh.
Peppa Pig, Don't worry Daddy. I will help you.
Daddy Pig," Oh, all right."
Daddy Pig," Peppa, you're in charge of getting me fit. What shall I do first?"
Peppa Pig, First you must do some press-ups.
Daddy Pig, (oinks) Easy.
Peppa Pig, One. Two.
Daddy Pig, There.
Peppa Pig," Very good, Daddy. Now I want you to do.... one hundred."
Daddy Pig, One hundred?
Peppa Pig, Yes.
Mummy Pig," Come on, children. Help me make lunch."
Daddy Pig, I'll help as well.
Peppa Pig," No, Daddy. You've got one hundred press-ups to do."
Daddy Pig," Oh. One, two... 3, 4..."
Narrator," Mummy Pig, Peppa and George are in the kitchen making lunch. Daddy pig: 5...."
Daddy Pig, Six...
Narrator, Daddy Pig is still doing his press-ups. Daddy pig: 7....
Daddy Pig, Eight...
Peppa Pig, Daddy is doing very well.
Daddy Pig, 9...
Daddy Pig, Ten...
Mummy Pig," Yes, I do hope he's not overdoing it. Daddy pig: 11... 12..."
Peppa Pig, I'll go and see.
Daddy Pig," Thirteen, fourteen, fifteen, sixteen, seventeen."
Peppa Pig," Daddy Pig! You're cheating, you should be doing press-ups."
Daddy Pig," Oh, er, there was something interesting on the TV."
Peppa Pig, Naughty Daddy.
Mummy Pig, Maybe Daddy will have more success with my old exercise bike.
Daddy Pig, Ah ha. This looks like fun. I'll be able to cycle and watch TV at the same time. (Engine sounds)
Daddy Pig, It's impossible. This bike is too noisy. I can't hear the TV.
Mummy Pig, (oinks) You've got to get fit somehow.
Peppa Pig," I know, you can use my bicycle."
Mummy Pig," Yes, and then you'll get some fresh air as well."
Narrator, Daddy Pig is going to ride on Peppa's little bicycle.
Peppa Pig," Daddy, these are the pedals, these are the brakes, and this is the bell. (Bells ring)"
Daddy Pig," Yes, yes, thank you, Peppa. I know. (Oinks) Bye-bye. (Bells ring)"
Daddy Pig, Easy as pie. Ough. (Panting)
Narrator, Getting fit is quite hard work.
Daddy Pig," Ahh. Oh ho, Now I can get fit without having to pedal. (Bells ringing)"
Narrator, Daddy Pig is going very fast.
Daddy Pig, Oh. Maybe I'd better slow down.
Daddy Pig, (screams) The brakes aren't strong enough! Help! (screaming)
Daddy Pig, Whoa!
Narrator, Daddy Pig has been gone for a long time.
Peppa Pig," Mummy, where can Daddy be?"
Mummy Pig," Don't worry, Peppa. Daddy must be really enjoying himself to be away for so long."
Daddy Pig," Ough, ough, hagh, egh. (Panting and tired) (The duck quacks) (bells ring)"
Peppa Pig," Daddy, Where have you been?"
Daddy Pig, I whizzed all the way down the hill. Then I had to push the bike all the way back up again.
Mummy Pig," (Gasps) Oh, poor Daddy Pig."
Daddy Pig, Well at least I've done my exercise.
Mummy Pig," Yes, for today."
Daddy Pig, What do you mean?
Mummy Pig, You have to do some more exercise tomorrow.
Daddy Pig, What?
Peppa Pig," Daddy, to get fit, you have to exercise every day."
Daddy Pig, Oh no.
Peppa Pig," But don't worry, Daddy. I’ll make sure you do it."
Daddy Pig," Yes, I know you will. (Chuckles)"
Narrator," Daddy Pig wears glasses. He needs to wear glasses to see clearly. When Daddy Pig wears his glasses, everything looks fine. But when Daddy Pig takes his glasses off, he can’t see things clearly. Everything looks a bit soft and fuzzy. So it is very important that Daddy Pig knows where his glasses are."
Narrator, Sometimes Daddy Pig loses his glasses.
Mummy Pig," Peppa, George, have you seen Daddy Pig’s glasses? He can’t find them anywhere."
Peppa Pig," No, Mummy."
Narrator, Peppa and George do not know where Daddy Pig’s glasses are.
Mummy Pig," Oh, dear. Daddy Pig cannot see a thing without them. And it makes him very grumpy."
Narrator," Without his glasses on, Daddy Pig cannot read his newspaper."
Daddy Pig, This is ridiculous. I can’t see anything. Somebody must have put my glasses somewhere.
Mummy Pig," Do you remember where you last put them, Daddy Pig?"
Daddy Pig, When I don’t wear them I always put them in my pocket. But they aren’t there now.
Peppa Pig," Daddy, can we help find your glasses?"
Mummy Pig," Good idea, Peppa. If you find them, Daddy will stop being so grumpy."
Daddy Pig, I’m not grumpy.
Narrator, Peppa and George are looking for Daddy’s glasses.
Narrator," Peppa looks under the newspaper, but Daddy Pig’s glasses are not there."
Peppa Pig, Oh.
Narrator," George looks on top of the television, but Daddy Pig’s glasses are not there."
George, Oh.
Peppa Pig, Let’s look upstairs in Mummy and Daddy’s bedroom.
Narrator, Peppa and George are looking in Mummy and Daddy Pig’s bedroom.
Peppa Pig," George, be careful not to knock anything over."
Peppa Pig, It’s not funny.
Narrator," Peppa looks under the pillows, but Daddy Pig’s glasses are not there."
Peppa Pig, Oh.
Narrator," George looks in Daddy’s slippers, but the glasses are not there either."
Peppa Pig, Let’s look in the bathroom.
Narrator, Peppa and George are looking in the bathroom. The glasses are not in the bath.
George, Oh.
Narrator, The glasses are not in the toilet.
Peppa Pig, Oh.
Peppa Pig, It’s too difficult.
Narrator, Peppa and George cannot find Daddy Pig’s glasses anywhere.
Peppa Pig, We’ve looked everywhere but we can’t find Daddy’s glasses.
Mummy Pig," Oh, dear. Now what can we do?"
Daddy Pig, I suppose I‘ll just have to learn to do without them. If I move slowly I won’t bump into things.
Peppa Pig, There they are. Daddy’s glasses.
Mummy Pig, Daddy Pig. You were sitting on them all the time.
Daddy Pig, Oh.
Peppa Pig, Silly Daddy.
Daddy Pig, I don’t know how they got there.
Mummy Pig, I wonder how.
Mummy Pig," Well you may have been a bit silly, Daddy Pig, but at least you’re not grumpy anymore."
Daddy Pig, I was not grumpy.
Narrator," Today is Daddy Pigs birthday, Daddy Pig has to go to work."
Peppa, [snort]
Daddy Pig," Hoho, so do I but I'll be home as soon as I can, see you later."
All, See you later.
Mummy Pig," While Daddy Pig is at work, we can get all his birthday surprises ready. '"
Mummy Pig, First we'll make daddy's birthday cake.
Mummy Pig," We start with butter and sugar and flour, then we add an egg. And most important of all, the chocolate bits."
Peppa and George,  Ooooooh
Narrator," Mummy Pig is making chocolate cake, Daddy Pig loves chocolate cake."
Mummy Pig, Then I give it a stir.
Peppa," Mummy, can I stir?"
Mummy Pig, Yes Peppa.
Narrator, Peppa loves stirring.
Mummy Pig, OK George thats enough stirring
Mummy Pig," There, Daddy Pig's chocolate cake."
Peppa, Hooray.
Mummy Pig, Now we just have to bake it in the oven.
Peppa," Mummy, can I lick the spoon?"
Mummy Pig," Yes, you can lick the spoon and George can lick the bowl."
Peppa, Yippee.
Narrator, Peppa and George love chocolate cake mixture.
Mummy Pig," Poor Daddy Pig, he's missing all the fun."
Peppa," Mummy, can I ring daddy at work and say ""Happy birthday""?"
Mummy Pig, Thats a nice idea.
Narrator, This is the office where Daddy Pig works.
Mr Rabbit," Hello, Mr Rabbit speaking."
Peppa, May I speak to Daddy Pig please?
Mr Rabbit," Someone for you Daddy Pig, it sounds important."
Daddy Pig," Hello, Daddy Pig speaking."
Peppa, HAPPY BIRTHDAY DADDY! Happy birthday.
Daddy Pig, Ho ho thank you Peppa.
Peppa, Don't be late home Daddy.  Bye bye.
Daddy Pig, Bye bye.
Mr Rabbit and Mummy Cat, [blow party horns] Happy birthday Daddy Pig.
Daddy pig, Thank you.
Mummy Pig, There's just one more thing to do before Daddy gets home.
Peppa," Yes,daddy's birthday surprise. Shhhh!  George, remember it's a secret."
George, Shhhhh!
Narrator,  Peppa and George have buckets of water.  Mummy Pig has balloons.  I wonder what Daddy Pig´s surprise can be.
Peppa, Daddy's home.
Mummy," Quick, back to the house."
Narrator, Daddy Pig is home from work.
Mummy Pig and Peppa, Happy birthday Daddy Pig!
George, [blows party horn]
Daddy Pig," Ho ho thank you everyone.Wow, what a lot of candles."
Peppa, That's because you are very very old daddy.  You must blow out all your candles in one go.
Daddy Pig, I´ll do my best.
 Peppa and George, Hurray!
Mummy, And here's your birthday present.
Daddy," Thank you, new boots. Fantastic. Let's try them out."
Narrator,"  Peppa, George and Mummy Pig are wearing their boots. Daddy Pig is wearing his birthday boots.  Dady Pig has found a little puddle."
Daddy Pig, Let's see if these boots work.
Narrator, The puddle is a bit too little for Daddy Pig.
Daddy Pig,  What I need is a big puddle.
Mummy Pig, Why not try over here Daddy Pig?
Daddy Pig,  Ohh what's this?
Peppa, It's your special birthday surprise.  Shhh!
George, Shhh!
Narrator, What are they up to?
Peppa, A big muddy puddle.
Daddy Pig,  Fantastic! Ho ho ho my birthday boots work perfectly.  Would you care to join me in my birthday muddy puddle?
Narrator,  Daddy Pig loves jumping up and down in muddy puddles.  Everyone loves jumping up and down in muddy puddles.
Daddy Pig,  This is my best birthday ever.
Narrator," Today is Daddy Pigs birthday, Daddy Pig has to go to work."
Peppa, [snort]
Daddy Pig," Hoho, so do I but I'll be home as soon as I can, see you later."
All, See you later.
Mummy Pig," While Daddy Pig is at work, we can get all his birthday surprises ready. '"
Mummy Pig, First we'll make daddy's birthday cake.
Mummy Pig," We start with butter and sugar and flour, then we add an egg. And most important of all, the chocolate bits."
Peppa and George,  Ooooooh
Narrator," Mummy Pig is making chocolate cake, Daddy Pig loves chocolate cake."
Mummy Pig, Then I give it a stir.
Peppa," Mummy, can I stir?"
Mummy Pig, Yes Peppa.
Narrator, Peppa loves stirring.
Mummy Pig, OK George thats enough stirring
Mummy Pig," There, Daddy Pig's chocolate cake."
Peppa, Hooray.
Mummy Pig, Now we just have to bake it in the oven.
Peppa," Mummy, can I lick the spoon?"
Mummy Pig," Yes, you can lick the spoon and George can lick the bowl."
Peppa, Yippee.
Narrator, Peppa and George love chocolate cake mixture.
Mummy Pig," Poor Daddy Pig, he's missing all the fun."
Peppa," Mummy, can I ring daddy at work and say ""Happy birthday""?"
Mummy Pig, Thats a nice idea.
Narrator, This is the office where Daddy Pig works.
Mr Rabbit," Hello, Mr Rabbit speaking."
Peppa, May I speak to Daddy Pig please?
Mr Rabbit," Someone for you Daddy Pig, it sounds important."
Daddy Pig," Hello, Daddy Pig speaking."
Peppa, HAPPY BIRTHDAY DADDY! Happy birthday.
Daddy Pig, Ho ho thank you Peppa.
Peppa, Don't be late home Daddy.  Bye bye.
Daddy Pig, Bye bye.
Mr Rabbit and Mummy Cat, [blow party horns] Happy birthday Daddy Pig.
Daddy pig, Thank you.
Mummy Pig, There's just one more thing to do before Daddy gets home.
Peppa," Yes,daddy's birthday surprise. Shhhh!  George, remember it's a secret."
George, Shhhhh!
Narrator,  Peppa and George have buckets of water.  Mummy Pig has balloons.  I wonder what Daddy Pig´s surprise can be.
Peppa, Daddy's home.
Mummy," Quick, back to the house."
Narrator, Daddy Pig is home from work.
Mummy Pig and Peppa, Happy birthday Daddy Pig!
George, [blows party horn]
Daddy Pig," Ho ho thank you everyone.Wow, what a lot of candles."
Peppa, That's because you are very very old daddy.  You must blow out all your candles in one go.
Daddy Pig, I´ll do my best.
 Peppa and George, Hurray!
Mummy, And here's your birthday present.
Daddy," Thank you, new boots. Fantastic. Let's try them out."
Narrator,"  Peppa, George and Mummy Pig are wearing their boots. Daddy Pig is wearing his birthday boots.  Dady Pig has found a little puddle."
Daddy Pig, Let's see if these boots work.
Narrator, The puddle is a bit too little for Daddy Pig.
Daddy Pig,  What I need is a big puddle.
Mummy Pig, Why not try over here Daddy Pig?
Daddy Pig,  Ohh what's this?
Peppa, It's your special birthday surprise.  Shhh!
George, Shhh!
Narrator, What are they up to?
Peppa, A big muddy puddle.
Daddy Pig,  Fantastic! Ho ho ho my birthday boots work perfectly.  Would you care to join me in my birthday muddy puddle?
Narrator,  Daddy Pig loves jumping up and down in muddy puddles.  Everyone loves jumping up and down in muddy puddles.
Daddy Pig,  This is my best birthday ever.
Narrator, Peppa and George are playing hide and seek. It is George's turn to hide. He must quickly find some place to hide before Peppa finishes counting.
Peppa,[closes her eyes] 1....2....3....4....5....6
Narrator," George has found some where to hide, just in time."
Peppa," 8...9...10. [opens here eyes] Ready or not, here i come."
Narrator, Peppa has to find where George is hiding.
Peppa,[tags him] Found you.
Narrator, Peppa has found George.
Peppa," George, i could see you too easily."
Narrator, Now it is Peppa's turn to hide.
George," [closes his eyes,trying to count] 1... um... 3"
Mommy,"[while reading a book] I'll help George to count. 1...2...3...4...5.[while Mommy Pig is counting, Peppa starts looking for a place to hide. She runs upstairs and into her and George's room. She empties all the toys from her toy bin and hides in the basket.] ..6...7...8...9...10"
Mommy," Ok George, open your eyes."
Narrator, George has to find where Peppa is hiding.
George, oh....
Narrator, Peppa isn't hiding under the table
Daddy," [Whispering] George, have you thought of looking upstairs?"
Narrator, Peppa isn't under the bed.
Narrator, What was that strange noise?
Narrator, Peppa isn't behind the curtain.
Narrator," There is that strange noise again, what can it be?"
Peppa, Weee!!
Narrator, George has found where Peppa is hiding.
Peppa, George found me! Now it's Daddy's turn to hide.
Daddy, oh i think George should have another turn.
Peppa, But George isn't very good at hiding.
Daddy, I'm sure he'll be better this time. Close your eyes and start counting.
Peppa, [closes her eyes and starts counting again] 1...2...
Narrator," Oh Dear, Peppa will easily find George."
Peppa, 3...4...5....
Daddy," [Whispering to George] George, come over here."
Peppa, 8...9...10. [opens her eyes] Ready or not here i come!
Peppa, Oh? George isn't hiding under the table. but George always hides under the table.
Daddy, have you thought of looking upstairs?
Peppa, I know where he is! [Peppa runs upstairs and into her room and starts to look in the toy basket she hid in] George is in the toy basket.
Peppa, Oh.
Narrator, George is not in the toy basket. Where can he be?
Narrator, Peppa cannot find George anywhere.
Peppa," Daddy, I can't find George anywhere."
Daddy," Oh dear, i wonder where he can be."
Daddy," Actually, I think there's something about George in this newspaper."
Peppa, George! Found you! [tags George]
Mommy," Oh George, that was a good place to hide."
Narrator, George was hiding behind Daddy Pig's Newspaper all the time. 
Suzy Sheep," Don't worry, mommy, we can look after the house while you're away."
Mummy Sheep," That's a very kind of you, Suzy. We have a special babysitter coming."
ALL, Hello
Suzy Sheep, Time for a tea
Suzy Sheep, No football In the house
Narrator, Peppa and her friends are at playgroup. They are dressed up in costumes from different countries.
Madame Gazelle, Today is International Day! When we celebrate all the countries of the world.
Narrator, Peppa is dressed as France.
France, I'm France!
Narrator, George is Russia.
Narrator, Pedro is America.
America, Ye-haw!
Narrator, Zoë is Japan.
Japan, Konichiwa!
Narrator, Suzy is Holland.
Holland, Hallo! That's Dutch for hello!
Holland," Madame Gazelle,What do all the countries of the world do?"
Madame Gazelle, They sing the song of Harmony together!
All, Hooray!
France, I like singing!
Holland, So do I!
Madame Gazelle, Does everyone remember the words?
All," Yes, Madame Gazelle"
All," (singing) Peace and Harmony in all the world, Peace and Harmony in all the world, Peace and Harmony in all the world, Peace and Harmony."
Madame Gazelle," Lovely! and later, We will sing that for your mommies & daddies"
Narrator, It is playtime.
Madame Gazelle," Enjoy yourselves, Play nicely together!"
Narrator, United Kingdom is on the slide.
United Kingdom, Whee!
Narrator, France and Switzerland are on the swings. Germany is playing hopscotch.
Germany," 1, 2, 3..."
Narrator," America, Russia, Spain and Greece are on the sandpit. Here are Holland and Japan."
America, I'm building a big sandcastle. Yeehaw!
Holland, (clears throat) Now it's our turn in the sandpit.
America, Why?
Holland, Because you've had your turn. You can play on the slide now.
America, But we want to play here!
Greece, (They're all crying.)
Narrator," Oh, dear. There is not enough room in the sandpit for more than 4 countries."
South Africa, What's going on?
Holland, It's our turn to play in the sandpit!
America, But we are here first?
France, Is Suzy being a bit bossy?!
Holland, George started it!
France," Leave George alone, he's only little!"
United Kingdom," (He blows a whistle.) Ello, Ello, Ello, what's all this noise about then?!"
America, They're trying to push us out of the sandpit!
Holland, No We're not!
France, Yes you are!
Holland, George started it!
All, (They're yelling cause they're arguing.)
Narrator," Oh dear, the countries of the world are not playing nicely together!"
Madame Gazelle," (singing.) Peace and harmony in all the... (She stopped singing.) w-what?! What's all that noise?! (She opens the door & hears the gang arguing.) Oh no, the countries are fighting!"
Holland, You can't play in the sandpit!
America, Yes we can!
Mexico, It's not fair!
Switzerland, Stop arguing!
France," Suzy, You're always telling people what to do!"
Holland, No i am not!
Madame Gazelle, Children! Children! What is happening?
Holland," America, Russia, Spain, and Greece won't share the sandpit!"
France, Holland is being bossy!
Holland, You're the bossy one!
Madame Gazelle, That is enough! Is this how you think the countries of the world behave?!
France," Um, don't they?"
Madame Gazelle, Of course not!
All," Sorry, Madame Gazelle."
Narrator, Mr. Zebra the postman is delivering a letter to Peppa's house.
Mummy Pig," Ooh, look! Someone's got a party invitation. [She picks up the invitation. Peppa and George run to her.]"
Peppa, (Snort!) It must be for me!
Mummy Pig," It says: ""To George Pig from Edmond Elephant. Please come to my party."""
Peppa, Doesn't it say George and Peppa?
Mummy Pig," No, Just George."
Peppa," Hmph, I didn't want to go to a silly baby party anyway."
Mummy Pig," Hello? Oh, it's for you, Peppa, it's Emily Elephant. (She hands the phone to Peppa.)"
Peppa, Hello.
Emily, Hello Peppa! Do you want to come to Edmond's party as my friend?
Peppa," Oh, Goody! [She puts the phone down.]"
Narrator, Everyone is here for Edmond Elephant's Party.
Mummy Elephant," Oh, the helpers are here."
 Suzy and Peppa," Hello, Mrs. Elephant!"
Mummy Elephant, Let's get this party started!
Mummy Elephant, Who wants to play Musical Statues!
Toddlers, Yay!
Peppa," This is what you do. [Danny puts on the Music Player, which plays ""Head, Shoulders, Knees and Toes"".] Dance when the music is playing and when it stops [Danny stops the Music Player], freeze like a statue."
Danny," Ready, Steady Go!"
Peppa, Just dance already! [The Toddlers start dancing and giggling. Danny then turns off the music.]
Peppa," You're moving, George, get out! [George cries and ran away. Richard squeaks.]"
Suzy," Richard and Edmond, get out. [Both of them cry and ran away.]"
Emily, So Zaza is the Winner! [She puts the medal on Zaza.]
Zaza, Hooray!
Danny, You got a medal!
Suzy, It's made of real plastic gold! [Zaza Laughs. The other toddlers start crying.]
Emily, Musical Statues is finished.
Mummy Elephant, Lovely.
Danny," When the music plays, pass the parcel round."
Peppa," When the music stops, take some paper off."
Suzy," Ready, Steady, Go!"
Peppa," George, pass the parcel!"
Narrator, Edmond has got a medal. [He puts the medal on himself and giggles.]
Peppa," Hurry up, Richard."
